NUISANCE_PARAMETERS
BB  0.598377 +0.0597151 -0.0597151
gamma_stat_nmjmeanSd0_bin_40  0.990969 +0.0801068 -0.0801068
gamma_stat_nmjmeanSd0_bin_41  0.973353 +0.142501 -0.142501
gamma_stat_nmjmeanSd0_bin_42  0.991878 +0.0972089 -0.0972089
gamma_stat_nmjmeanSd0_bin_43  1.00284 +0.134346 -0.134346
gamma_stat_nmjmeanSd0_bin_44  0.977129 +0.103924 -0.103924
gamma_stat_nmjmeanSd0_bin_45  1.00686 +0.144115 -0.144115
gamma_stat_nmjmeanSd0_bin_46  1.0123 +0.12362 -0.12362
gamma_stat_nmjmeanSd0_bin_47  0.991513 +0.132521 -0.132521
gamma_stat_nmjmeanSd0_bin_48  0.996585 +0.14984 -0.14984
gamma_stat_nmjmeanSd0_bin_49  0.975835 +0.244902 -0.244902
gamma_stat_nmjmeanSd0_bin_5  1.01283 +0.259336 -0.259336
gamma_stat_nmjmeanSd0_bin_50  1.03143 +0.132097 -0.132097
gamma_stat_nmjmeanSd0_bin_51  0.978269 +0.183368 -0.183368
gamma_stat_nmjmeanSd0_bin_52  1.00473 +0.114335 -0.114335
gamma_stat_nmjmeanSd0_bin_53  0.995793 +0.161888 -0.161888
gamma_stat_nmjmeanSd0_bin_54  0.974779 +0.259756 -0.259756
gamma_stat_nmjmeanSd0_bin_6  0.937739 +0.275346 -0.275346
gamma_stat_nmjmeanSd0_bin_7  1.01033 +0.123341 -0.123341
gamma_stat_nmjmeanSd0_bin_8  1.03277 +0.12711 -0.12711
gamma_stat_nmjmeanSd0_bin_9  1.005 +0.103807 -0.103807


CORRELATION_MATRIX
165   165
-0.0023128   -0.00244463   -0.00745677   -0.0117372   -0.00658258   -0.00411927   -0.00412761   -0.012003   -0.00741289   -0.0103416   -0.0231107   -0.0128458   -0.0132596   -0.0105232   -0.015171   -0.0105871   -0.0195091   -0.0224512   -0.0299479   -0.0273506   -0.0029011   -0.0259311   -0.0245796   -0.0348985   -0.0394091   -0.0398497   -0.0605209   -0.0503198   -0.0414352   -0.044352   -0.0712979   -0.00348423   -0.0509562   -0.0438729   -0.0522161   -0.0608804   -0.0437612   -0.0312555   -0.0243039   -0.00022358   0.0181378   -0.00298955   0.00406931   -0.00390552   -0.00795548   -0.0121493   -0.011256   -0.00309099   -0.00138881   -0.00184896   0.0285043   0.00704168   -0.000618367   0.000413651   -0.00097363   0.00141374   -0.000410444   -0.000628699   -0.00014596   -0.00201094   -0.00190651   -0.00271972   -0.00336574   -0.00556953   -0.00587615   -0.00520245   -0.00591559   -0.00574129   -0.00480447   -0.00914402   -0.0085474   -0.00107643   -0.00904725   -0.00528557   -0.00502945   -0.0033376   -0.00672213   -0.00332061   -0.00501832   -0.00198327   0.00210192   -0.00274275   -0.000154388   -0.0019693   0.00379446   0.00311196   0.00830442   -0.00175294   -0.00127232   -0.00176393   -0.000925155   0.000992672   0.00314458   -0.00331125   -0.000367849   -0.00655599   -0.00218571   0.000772098   -0.00102405   -0.00700089   -0.0085117   -0.00381962   -0.0105212   0.00426364   -0.00617936   -0.000212739   -0.00758443   -0.0029175   -0.00747145   -0.0127329   -0.0130911   -0.0114788   -0.0129318   -0.00972235   0.000647401   -0.0117515   -0.0158739   -0.0047162   0.00318759   0.0052562   -0.00119687   0.00379764   -0.00152054   0.00953943   0.00220497   0.00526867   0.00533614   0.000776983   0.00171677   3.42622e-05   0.00317064   0.002483   0.001934   0.000473049   -0.000141645   0.000710732   -0.00156748   -0.000259768   -0.000315766   -0.00231817   -0.0023394   -0.00125166   -0.0010934   -0.00186858   0.000438754   0.00138546   -0.000275018   0.000340622   0.000150277   0.00202936   0.000728981   0.00278353   0.00054387   0.00452659   0.00427889   0.00355414   0.00483912   0.00047645   0.000305853   -0.881552   0.0179777   0.434047   -0.680075   -0.538246   1   
0.000367826   0.000907631   0.00852095   0.00239136   0.00416858   0.00191337   0.00274112   0.00597066   0.00417902   0.00354676   0.0128059   0.00672229   0.00821445   0.00471604   0.00931136   0.00676963   0.00711483   0.0112785   0.0152295   0.0151664   0.00168017   0.0153398   0.0149922   0.0179597   0.0218712   0.0224579   0.0279032   0.026106   0.0212289   0.0255821   0.0366597   0.000999822   0.0294112   0.0237852   0.0285036   0.0322026   0.0260957   0.0200952   0.0131787   0.000166048   -0.0173236   1.1803e-05   -0.00198999   0.00328956   0.00402355   0.00338919   0.00325711   0.00295664   0.000605345   0.000511325   -0.04681   -0.0120906   0.0002567   -0.000181326   0.000437282   -0.00101551   0.000455983   0.000772775   0.000993705   0.00212481   0.00197856   0.00281692   0.00376039   0.00579848   0.00696974   0.00572604   0.0069768   0.00736446   0.00632704   0.0102729   0.00926864   0.000208063   0.0101038   0.0075108   0.00964962   0.00853767   0.00962688   0.00856853   0.0100507   0.00625066   0.00073741   0.00315297   4.58474e-05   -0.00631726   -0.0141301   -0.0113133   -0.0126025   -0.00125028   -0.0046122   -0.00754411   -0.00924743   -0.011759   -0.0122337   -0.0138379   -0.00811592   -0.00455231   -0.0122867   -0.0233101   -0.0155837   -0.00837176   -0.00884706   -0.0171797   -0.00965432   -0.0103577   -0.0143109   -0.0222352   -0.0157487   -0.0221415   -0.0216807   -0.0240289   -0.0245095   -0.0241651   -0.0214244   -0.0310994   -0.00495093   -0.0258176   -0.0248331   -0.0358848   -0.0094423   0.0044342   0.00198736   -0.0103833   -0.00758937   -0.0210968   -0.0162633   -0.0285298   -0.0132328   -0.0026954   -0.000328286   -0.00284454   -0.00692552   -0.00361499   -0.00505418   -0.00129062   -0.00014745   -0.00195264   0.000923137   -0.00138919   -0.0015628   -0.000224609   -0.000679982   -0.00309629   -0.00015128   -0.00314876   -0.00250543   -0.00137317   -0.000654966   -0.00086179   -0.00165587   -0.00118304   -0.00191673   -0.00132535   0.000408297   -0.000612462   0.000132578   -0.00258618   -0.000525075   -0.00130025   -0.000644308   0.371075   0.345684   -0.681264   0.338903   1   -0.538246   
0.0012036   0.000101075   0.00897438   0.00923892   0.00464754   0.00306979   0.00340647   0.00611265   0.00470108   0.00935482   0.0209338   0.00924042   0.0101411   0.00779002   0.00980263   0.00364151   0.0121318   0.0163581   0.0134743   0.0187605   0.00182554   0.0187043   0.0174934   0.0236302   0.0220207   0.0262244   0.0388828   0.0309918   0.0217115   0.0206098   0.0457428   0.00340996   0.0304994   0.0157713   0.0137512   0.0188087   0.00246001   -0.0145038   -0.0531706   -0.00154401   -0.0313887   -0.0094022   -0.0188371   -0.00308088   0.00278713   0.00230385   0.00777578   0.00192767   0.00247447   0.00179039   -0.0208324   -0.00451919   0.00213466   -0.000363622   0.00167919   -0.00131342   0.000414254   0.000598173   -0.000520985   0.00222579   0.00219173   0.00275843   0.00374772   0.00585547   0.00654304   0.00556263   0.00583298   0.00540838   0.00436066   0.00963549   0.00893817   0.0017917   0.00958616   0.00425668   0.00285574   0.000542075   0.00581769   0.000990257   0.00232627   -0.000951328   -0.00472689   0.00476458   0.000282268   0.00606343   -0.00122482   -0.00114584   -0.00847289   0.00113198   0.00109348   0.000689611   0.000509048   -0.00245122   -0.00117075   0.00185102   0.000731226   0.00488471   0.00192619   5.76345e-05   0.001262   0.00586221   0.0064622   0.00324223   0.00675539   -0.00208584   0.00582971   -0.000232728   0.00599119   0.00280002   0.00368247   0.0103107   0.0102226   0.00934123   0.00776077   0.00966833   0.000221316   0.00805592   0.0125794   -0.0024737   -0.00167118   0.00257899   0.0107193   0.00328615   0.00771565   -0.00579598   0.00455973   0.00119066   -0.00338335   -1.46756e-05   -0.00178461   0.00191152   -0.00169721   -0.00185155   -8.23853e-05   -0.0001991   0.000303782   -0.000138407   0.00203614   0.00107023   0.00126655   0.00377958   0.00403799   0.00357698   0.00161322   0.00462219   0.000113743   -0.0020809   0.0010482   -0.000608737   0.000191878   -0.0028778   -0.000172774   -0.00401448   -0.00118128   -0.00699052   -0.00544912   -0.00293347   -0.0062225   -6.63482e-05   -0.000162259   0.534625   -0.0192239   -0.630177   1   0.338903   -0.680075   
-0.00083688   0.000195658   -0.0132089   0.000156903   -0.00403687   -0.00182296   -0.00297891   -0.00320233   -0.00341918   -0.000719322   -0.0138686   -0.00600959   -0.00814468   -0.00386785   -0.00713173   -0.00365537   -0.00308176   -0.0103629   -0.00541076   -0.0121352   -0.00171514   -0.0146096   -0.0139099   -0.0140953   -0.013925   -0.0169325   -0.0161852   -0.0180743   -0.0112282   -0.0144557   -0.0255201   -0.00187318   -0.0217487   -0.0103641   -0.00868494   -0.0104078   -0.00398339   0.00476862   0.0373942   5.76335e-05   0.0255001   0.00377365   0.0111809   -0.00175225   -0.00349323   0.00625428   -0.00261849   -0.0047128   -0.0033195   0.000365881   0.032938   0.007765   -0.00264665   -8.62448e-05   -0.00128509   0.000387131   -0.000387707   -0.000630529   -1.58214e-05   -0.00206849   -0.0020791   -0.00224068   -0.00381445   -0.00514055   -0.00714917   -0.00537098   -0.0058654   -0.00606947   -0.00499348   -0.00946177   -0.00805134   -0.000941656   -0.00922212   -0.00519266   -0.00628596   -0.00460662   -0.00751756   -0.00552964   -0.00575427   -0.00216125   0.00261137   -0.00616264   -0.000196584   -0.0031064   0.00810176   0.00675735   0.00986949   0.000694243   0.00276025   0.00515008   0.00591927   0.00927855   0.00785714   0.0109908   0.00439993   0.0022096   0.00736077   0.0171351   0.0100546   0.00315412   0.00449707   0.0105027   0.00542321   0.00620778   0.00704221   0.014442   0.00868364   0.0126613   0.0140858   0.012345   0.0121905   0.0122771   0.0107893   0.0140218   0.00235002   0.0101618   0.00599507   0.0179363   0.0060536   -0.0344191   -0.0285539   -0.00812539   -0.00880739   0.00885742   0.00133567   0.0141898   0.0101519   0.000983377   -0.000213509   0.000483024   0.00525388   0.00231172   0.0023964   0.000957495   -1.30733e-05   0.0012072   -0.00119509   0.000591552   0.000550843   -0.00101864   -0.000822546   0.000685903   -0.000151875   0.000328446   0.00203827   0.0021788   -0.000307277   0.00135009   0.0014399   0.00184012   0.00108317   0.00235954   0.000173501   0.00265248   0.000198458   0.00140646   0.000421139   0.000743432   0.000433712   -0.286152   -0.657985   1   -0.630177   -0.681264   0.434047   
-0.000202353   -0.000926276   0.00834715   -0.00996942   0.00115543   -0.0002126   0.000825017   -0.00122663   0.000348073   -0.0100049   -0.00169372   -0.000118487   0.00152071   -0.00188219   -0.000185466   0.00102607   -0.00686573   -0.000642647   -0.00657832   -0.00101793   0.000665418   0.00259931   0.00242012   -0.00275248   -0.00248577   -0.00247796   -0.0152686   -0.00478482   -0.00588358   -0.00147461   -0.00909514   -0.000420704   -0.000377912   -0.00156584   -0.0038376   -0.00673331   -0.00114594   0.00206298   -0.0114133   0.0012075   -0.0200424   -0.00243409   -0.00522419   0.00284233   0.000967692   -0.0157987   -0.00400951   0.00393323   0.00255619   -0.00290693   -0.0137479   -0.00320713   0.00192342   0.000481236   0.000346554   0.000828452   6.73315e-05   0.000158778   4.24772e-05   0.000416504   0.000530008   -3.06397e-05   0.00114131   0.000679219   0.0024817   0.00123801   0.00130335   0.00181809   0.00146265   0.00223974   0.000937235   -0.000139122   0.00185047   0.00135011   0.00334873   0.00313728   0.00274454   0.0041153   0.00273465   0.00177469   -0.000310243   0.00372822   3.58587e-05   0.00189694   -0.00571504   -0.0044991   -0.0029389   -0.00109941   -0.00266576   -0.00432693   -0.00469351   -0.00629985   -0.00610453   -0.0116284   -0.00332821   -0.00428355   -0.00649181   -0.0155784   -0.00867081   -0.00468214   -0.00665389   -0.00973494   -0.00746674   -0.00345206   -0.0078528   -0.0107255   -0.00959249   -0.0106209   -0.0125764   -0.0142409   -0.0135491   -0.0134217   -0.0107387   -0.0136435   -0.00157498   -0.00844381   -0.00643151   -0.00725501   -0.004072   0.0400026   0.0289055   0.0115064   0.00799482   -0.00109119   -0.000541513   -0.011465   -0.00744667   -0.00040119   0.0016121   -0.00131789   -0.00401652   -0.000541981   -0.00155238   -0.000716886   -0.000162607   -0.000913886   -0.000207547   -0.0011953   -0.00116912   -0.00138024   -0.00169124   -0.00261089   -0.000921496   -0.00288055   -0.00196236   -0.000817107   -0.000188046   -0.00100455   -0.00147811   0.000204199   -0.000605654   0.00033691   0.00067324   0.00194749   0.00321698   0.000176372   0.00443398   -0.000538589   -0.000256888   -0.0498311   1   -0.657985   -0.0192239   0.345684   0.0179777   
